"item","category","reuse_ideas","recycling_suggestions","diy_ideas","environmental_tip"
"plastic bottle","Plastic","Use as a plant pot, pencil holder, or bird feeder","Rinse and place in the plastic recycling bin (check the number on the bottom)","Cut in half to make a scoop, or build a drip irrigation device for plants","A single plastic bottle can take over 400 years to decompose in a landfill"
"newspaper","Paper","Use for gift wrapping, packing material, or window cleaning","Recycle with other paper waste; avoid recycling if heavily soiled","Make papier-mache crafts or seed starter pots","Recycling one tonne of newspaper saves about 1 tonne of wood"
"old t-shirt","Fabric","Turn into a cleaning rag, tote bag, or cushion cover","Donate if wearable; textile recycling bins accept worn-out fabric","No-sew tote bag by cutting and knotting the sides","The fashion industry is one of the largest polluters of clean water globally"
"cardboard box","Paper","Use for storage, moving, or as a cat scratcher/play box","Flatten and recycle with paper/cardboard waste","Build organizers, a cat house, or kids play furniture","Cardboard is one of the most recyclable materials, reusable many times"
"glass jar","Glass","Use for storing spices, leftovers, or as a drinking glass","Rinse and recycle with glass waste; glass is infinitely recyclable","Turn into a candle holder, vase, or desk organizer","Glass can be recycled endlessly without losing quality"
"tin can","Metal","Use as a pen holder, planter, or storage container","Rinse and recycle with metal waste","Punch holes and use as a lantern with a tealight candle","Recycling aluminum saves about 95 percent of the energy needed to make new metal"
"old smartphone","Electronics","Repurpose as a dedicated music player, security camera, or e-reader","Take to an e-waste recycling center; never bin electronics with regular trash","Use old parts for DIY electronics/robotics projects if you are into tinkering","E-waste contains valuable metals but also hazardous materials that need special handling"
"broken umbrella","Mixed materials","Use the fabric for a bag or the frame as a plant support","Separate metal frame for metal recycling; fabric can go to textile recycling","Make a small garden trellis from the spokes","Umbrellas are hard to recycle whole because they mix multiple materials"
"egg carton","Paper/Cardboard","Use for seed starting, organizing small items, or craft supplies","Recycle with paper if made of pulp; check if foam cartons are recyclable locally","Make a caterpillar craft or paint palette for kids","Pulp cartons are biodegradable and compostable, unlike foam versions"
"wine cork","Cork","Use as plant labels, a bulletin board, or drawer bumpers","Cork recycling programs exist in some areas; otherwise compost natural cork","Glue corks together to make a bath mat or trivet","Natural cork is biodegradable and harvested without cutting down trees"
"old book","Paper","Donate to a library or school, or use as home decor","Recycle with paper if damaged beyond use, remove any plastic covers first","Make wall art, a hollow book box, or folded page art","Donating extends a book life instead of adding to landfill waste"
"aluminum foil","Metal","Reuse for wrapping food again if clean, or use for scrubbing pans","Ball it up and recycle with metal waste if clean, otherwise it contaminates recycling","Use as a reflective backdrop for plant growing or photography","Aluminum is 100 percent recyclable and can be recycled repeatedly"
"plastic bag","Plastic","Reuse as a small trash bag liner or for packing","Take to dedicated plastic bag collection points at grocery stores, not curbside bins","Braid multiple bags into a durable rope (plarn)","Plastic bags often jam recycling machinery, so curbside bins usually reject them"
"old newspaper wine bottle","Glass","Use as a vase, oil dispenser, or decorative light holder","Rinse and recycle with glass waste","Cut the bottom off carefully to make a terrarium or glass planter","Reusing glass bottles saves the energy needed to melt and reshape new glass"
"broken furniture","Wood/Mixed","Repurpose wood into shelves or smaller furniture pieces","Take wood scraps to a recycling center; some accept furniture for material recovery","Turn drawers into wall shelves or a pet bed","Furniture in landfills can take decades to break down depending on materials used"
"plastic straw","Plastic","Use as a small funnel or for craft beading","Straws are too small for most recycling machines, avoid single-use straws instead","Make jewelry or friendship bracelets by cutting into beads","Plastic straws are among the top items found in ocean cleanups"
"yogurt cup","Plastic","Use as a small planting pot for seedlings or a paint cup","Rinse and check the recycling number on the bottom before binning","Turn into a small desk organizer or crayon holder","Small plastic containers often get missed by sorting machines, so rinse well"
"broken pencil","Wood","Use short stubs for crossword puzzles or as plant markers","Wood pencils can be composted if unpainted, otherwise landfill","Glue several stubs together to make a small picture frame","Most pencils use sustainably sourced wood, so reusing extends that value"
"old newspaper bag","Paper","Line small trash bins or wrap fragile items when packing","Recycle with paper waste if clean and dry","Fold into origami boxes for organizing small items","Paper bags decompose far faster than plastic ones, within weeks"
"broken ceramic mug","Ceramic","Use the bottom half as a small planter with drainage","Ceramics generally cannot go in glass recycling, dispose as general waste","Break into mosaic tile pieces for garden art or stepping stones","Ceramics are fired at high heat, making them essentially non-biodegradable"
"old CD or DVD","Plastic/Metal","Use as a mini mirror, coaster, or reflective garden deterrent for birds","Specialized e-waste recyclers accept CDs, do not put in regular recycling","Create sun-catcher art by combining several into a mobile","CDs are made of layered plastic and metal that take centuries to break down"
"worn out shoes","Fabric/Rubber","Use as outdoor gardening shoes or donate if still wearable","Some shoe brands and stores run take-back recycling programs","Turn into planters by filling with soil for small plants","Textile and rubber combinations make shoes very hard to recycle curbside"
"plastic cutlery","Plastic","Reuse for gardening as plant markers or scoops","Rarely accepted in curbside recycling due to small size, avoid single-use where possible","Melt-free craft: use as stirring sticks for paint or glue projects","Switching to reusable cutlery avoids one of the most common landfill items"
"aluminum can","Metal","Use as a pen holder, small planter, or storage tin","Rinse and recycle with metal waste, cans are highly valuable to recyclers","Punch decorative holes to make a lantern, or turn into a small wind chime","Aluminum cans can be recycled and back on shelves within 60 days"
"old calendar","Paper","Cut images for scrapbooking, gift tags, or bookmarks","Recycle with paper waste","Fold pages into origami or use as gift wrap","Reusing paper before recycling reduces the energy needed for reprocessing"
"used battery","Battery/Hazardous","Do not attempt DIY reuse, batteries can leak harmful chemicals","Take to a designated e-waste or battery collection point, never bin with regular trash","Not recommended for DIY due to safety risk","Batteries contain heavy metals that can contaminate soil and water if landfilled"
